user_id,day_type,is_weekday,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,work_intensity_ratio,meeting_burden,break_adequacy,screen_time_per_meeting,workload_pressure,high_workload_flag,sleep_deficit,recovery_index,fatigue_risk,health_risk_score,poor_recovery_flag,task_efficiency,work_hours_productivity,work_life_balance_score,burnout_score,burnout_score_normalized,burnout_risk,high_burnout_risk_flag,medium_high_burnout_risk_flag,after_hours_work_hours_est
6,Weekday,1,8.01,10.18,6,5,0,4.5,58.7,1.26,0.74,0.62,1.67,9.51,1,3.5,-0.68,3.43,51.8,1,7.24,2735.42,61.71,58.57,39.65,Low,0,0,0
6,Weekend,0,3.49,5.13,1,2,0,6.58,71.1,1.43,0.28,0.56,4.66,3.74,0,1.42,3.45,-4.74,7.1,0,19.81,5455.74,59.39,54.23,36.58,Low,0,0,0
7,Weekend,0,3.74,6.03,0,1,1,7.08,96.7,1.57,0,0.26,60.3,4.74,0,0.92,2.05,-4.59,4.6,0,25.18,7258.95,30.14,9.09,4.66,Low,0,0,0.37
7,Weekend,0,5.89,9.56,2,2,1,6.88,93.1,1.6,0.33,0.33,4.55,7.39,0,1.12,-0.68,-0.76,5.6,0,15.54,5654.27,32.04,14.62,8.57,Low,0,0,0.59
7,Weekday,1,7.24,9.94,3,3,0,4.69,81.6,1.35,0.41,0.41,3.21,7.99,1,3.31,-2.25,2.9,45.6,1,11.12,4221.44,42.22,24.06,15.25,Low,0,0,0
7,Weekday,1,9.34,13.04,4,4,0,8.12,74.7,1.38,0.42,0.42,3.18,10.34,1,-0.12,-0.92,0.86,8,0,7.91,2818.68,71.54,32.3,21.07,Low,0,0,0
7,Weekend,0,4.63,6.32,2,5,0,7.86,69.8,1.34,0.42,1.06,3.01,5.13,0,0.14,6.54,-5.47,0.7,0,14.76,4825.51,100,34.7,22.77,Low,0,0,0
7,Weekend,0,3.94,7.56,1,5,0,6.73,78.9,1.87,0.25,1.24,6.87,4.19,0,1.27,4.17,-2.54,6.35,0,19.53,5817.56,94.71,31.55,20.54,Low,0,0,0
7,Weekday,1,8.74,10.26,2,5,1,7.05,69.2,1.16,0.23,0.57,4.89,10.24,0,0.95,1.79,-0.31,4.75,0,7.83,2887.95,57.91,40.32,26.74,Low,0,0,0.87
7,Weekday,1,7.2,9.54,0,1,0,7.3,70,1.31,0,0.14,95.4,7.2,0,0.7,-1.24,-1.41,3.5,0,9.59,3640,37.95,43.07,28.69,Low,0,0,0
7,Weekday,1,8.49,11.63,2,5,0,8.69,68.1,1.35,0.23,0.58,5.54,8.99,0,-0.69,2.06,-1.4,0,0,7.93,2955.54,91.22,47.31,31.69,Low,0,0,0
7,Weekend,0,3.71,7.38,1,4,0,9.11,79.4,1.94,0.26,1.05,6.71,3.96,0,-1.11,5.73,-6.28,0,0,20.84,5976.17,100,42.42,28.23,Low,0,0,0
8,Weekend,0,4.14,7.09,1,3,1,6.02,98.8,1.67,0.24,0.71,6.45,5.39,0,1.98,1.93,-1.94,9.9,0,23.3,7153.12,44.59,9.1,4.67,Low,0,0,0.41
8,Weekend,0,6.84,8.77,1,3,0,6.22,81.8,1.26,0.14,0.43,7.97,7.09,0,1.78,0.45,-0.56,8.9,0,11.79,4449.92,55.29,21.84,13.68,Low,0,0,0
8,Weekday,1,7.88,9.67,2,3,0,6.2,77.5,1.21,0.25,0.38,4.6,8.38,0,1.8,-0.47,0.37,12.7,0,9.71,3678.67,50.98,31.84,20.75,Low,0,0,0
8,Weekday,1,7.13,10.22,6,4,1,7.56,71.4,1.41,0.83,0.55,1.68,9.63,1,0.44,1.34,-1.12,2.2,0,9.88,3746.12,56.18,45.6,30.48,Low,0,0,0.71
8,Weekend,0,6.62,8.82,0,5,0,6.46,75.4,1.31,0,0.74,88.2,6.62,0,1.54,2.64,-0.87,7.7,0,11.22,4212.35,81.97,47.78,32.02,Low,0,0,0
8,Weekend,0,3,5.54,1,3,1,6.59,62.1,1.79,0.32,0.97,5.04,4.25,0,1.41,4.05,-4.34,7.05,0,20.03,4968,53.42,55.25,37.3,Low,0,0,0.3
8,Weekend,0,6.34,9.65,0,2,0,7.68,58.2,1.5,0,0.31,96.5,6.34,0,0.32,0.03,-1.87,1.6,0,9.04,3360.08,56.24,61.3,41.58,Low,0,0,0
8,Weekday,1,9,11.49,5,3,0,6.23,47.3,1.26,0.55,0.33,2.25,10.25,1,1.77,-2.26,2.14,30.3,0,5.2,1892,46.72,78.28,53.59,Medium,0,1,0
8,Weekday,1,7.69,10.24,4,2,0,5.61,42.3,1.31,0.51,0.26,2.5,8.69,1,2.39,-2.63,1.82,30.2,1,5.43,2061.42,35.32,91.17,62.7,Medium,0,1,0
8,Weekend,0,3.91,7.38,0,1,1,5.92,40.9,1.84,0,0.25,73.8,4.91,0,2.08,-0.46,-1.5,10.4,1,10.2,3023.87,20.76,96.5,66.47,Medium,0,1,0.39
9,Weekend,0,6.89,9.89,1,1,1,6.56,86.4,1.41,0.14,0.14,8.99,8.14,0,1.44,-2.33,0.05,7.7,0,12.36,4671.36,13.64,16.7,10.04,Low,0,0,0.69
9,Weekend,0,4.01,6.06,2,4,1,8.43,95.9,1.47,0.49,0.97,2.89,5.51,0,-0.43,6.37,-6.58,0,0,23.33,7026.27,75.18,14.02,8.15,Low,0,0,0.4
9,Weekday,1,9.24,12.51,0,2,1,7.58,81.2,1.34,0,0.21,125.1,10.24,0,0.42,-2.93,1.14,13.5,0,8.69,3118.08,23.89,25.29,16.12,Low,0,0,0.92
9,Weekend,0,3.49,5.18,1,3,0,7.52,94.2,1.44,0.28,0.84,4.71,3.74,0,0.48,5.34,-6.1,2.4,0,26.24,7228.28,78.44,19.95,12.34,Low,0,0,0
9,Weekend,0,3.94,6.1,0,2,1,7.95,79.8,1.51,0,0.5,61,4.94,0,0.05,3.85,-5.83,0.25,0,19.75,5883.92,47.86,26.72,17.13,Low,0,0,0.39
9,Weekend,0,3,6.45,2,2,1,6.86,79.5,2.08,0.65,0.65,3.07,4.5,0,1.14,2.41,-3.84,5.7,0,25.65,6360,43.45,28.62,18.47,Low,0,0,0.3
9,Weekend,0,3.88,7.04,0,1,1,6.13,85.7,1.77,0,0.25,70.4,4.88,0,1.87,0.09,-2.16,9.35,0,21.53,6353.23,22.46,28.29,18.24,Low,0,0,0.39
9,Weekend,0,5.19,8.24,0,1,1,6.3,82.8,1.56,0,0.19,82.4,6.19,0,1.7,-0.94,-1.21,8.5,0,15.65,5415.12,18.49,32.5,21.21,Low,0,0,0.52
9,Weekend,0,5.03,9.03,0,5,0,5.48,75.8,1.76,0,0.97,90.3,5.03,0,2.52,1.45,0.81,20.7,0,14.78,5038.17,80.98,36.75,24.22,Low,0,0,0
9,Weekday,1,5.98,8.84,2,4,1,6.53,71.8,1.45,0.33,0.66,4.21,7.48,0,1.47,1.69,-0.96,7.35,0,11.81,4317.57,53.05,41.86,27.83,Low,0,0,0.6
10,Weekend,0,4.33,7.87,0,3,0,6.7,90.2,1.78,0,0.68,78.7,4.33,0,1.3,1.83,-2.18,6.5,0,20.36,6416.23,68.93,12.76,7.25,Low,0,0,0
10,Weekday,1,8.29,10.67,2,1,0,6.66,89,1.27,0.24,0.12,5.08,8.79,0,1.34,-3.01,0.68,13.5,0,10.61,3981.27,28.79,21.98,13.77,Low,0,0,0
10,Weekend,0,4.6,6.84,2,5,1,7,89.2,1.46,0.43,1.06,3.26,6.1,0,1,5.16,-3.66,5,0,18.98,6184.53,74.1,25.3,16.12,Low,0,0,0.46
10,Weekday,1,8.07,9.92,6,2,0,8.96,59.2,1.21,0.73,0.24,1.63,9.57,1,-0.96,1.04,-3.52,0,0,7.25,2735.04,58.92,46.19,30.89,Low,0,0,0
10,Weekday,1,6.18,8.02,4,1,1,7.07,63.6,1.28,0.64,0.16,1.96,8.18,0,0.93,0.05,-2.59,4.65,0,10.13,3739.68,20.31,52.92,35.65,Low,0,0,0.62
10,Weekend,0,4.75,7.27,0,2,0,8.12,64.1,1.5,0,0.41,72.7,4.75,0,-0.12,2.85,-4.91,0,0,13.22,4380.17,65.9,53.89,36.34,Low,0,0,0
10,Weekend,0,3,4.52,0,4,1,9.33,67.4,1.46,0,1.29,45.2,4,0,-1.33,8.81,-9.48,0,0,21.74,5392,85.98,51.02,34.31,Low,0,0,0.3
10,Weekday,1,8.29,10.24,2,1,0,4.68,58.7,1.22,0.24,0.12,4.88,8.79,0,3.32,-4.56,3.22,48.8,1,7,2625.85,13.94,64.32,43.71,Low,0,0,0
10,Weekday,1,7.78,10.9,4,2,1,5.08,52.2,1.38,0.51,0.25,2.66,9.78,1,2.92,-3.82,3.28,47.4,1,6.62,2512.56,10.98,79.07,54.14,Medium,0,1,0.78
10,Weekend,0,5.34,8.84,1,1,0,7.61,45.7,1.63,0.18,0.18,8.04,5.59,0,0.39,-0.23,-2.58,1.95,0,8.4,2943.08,47.72,85.6,58.76,Medium,0,1,0
11,Weekday,1,6.85,9.33,0,5,0,6.26,91.8,1.34,0,0.72,93.3,6.85,0,1.74,1.93,-0.06,8.7,0,13.21,4987.8,79.55,17.07,10.3,Low,0,0,0
11,Weekday,1,7.7,10.39,3,1,0,6.34,83.2,1.33,0.38,0.13,3.35,8.45,1,1.66,-3.05,0.88,17.1,0,10.67,4049.07,28.75,30.46,19.77,Low,0,0,0
11,Weekday,1,6.58,10.54,0,3,0,6.21,70.2,1.58,0,0.45,105.4,6.58,0,1.79,-1.33,1.22,21.2,0,10.51,3940.56,56.26,41.38,27.49,Low,0,0,0
11,Weekend,0,5.77,9.67,1,2,1,6.32,59.7,1.65,0.17,0.34,8.79,7.02,0,1.68,-1.35,0.19,10.3,0,10.17,3673.54,28.32,53.2,35.85,Low,0,0,0.58
11,Weekend,0,3.98,7.67,0,4,1,7.95,56.4,1.88,0,0.98,76.7,4.98,0,0.05,4.28,-4.26,0.25,0,13.82,4143.52,71.7,56.39,38.11,Low,0,0,0.4
11,Weekend,0,4.81,8.61,1,3,1,6.75,55.2,1.75,0.2,0.61,7.83,6.06,0,1.25,1.14,-1.52,6.25,0,11.24,3749.92,47.39,62.21,42.22,Low,0,0,0.48
11,Weekend,0,5.32,8.85,1,1,0,6.53,54.1,1.63,0.18,0.18,8.05,5.57,0,1.47,-1.32,-0.95,7.35,0,9.98,3491.25,39.7,67.77,46.15,Low,0,0,0
11,Weekend,0,5.13,7.5,1,5,0,4.5,54.3,1.43,0.19,0.96,6.82,5.38,0,3.5,2,0.75,25,0,10.38,3572.94,73.23,71.46,48.76,Medium,0,1,0
11,Weekday,1,8.78,10.64,0,3,0,5.97,48.7,1.2,0,0.34,106.4,8.78,0,2.03,-1.67,1.69,27,1,5.48,2019.43,45.66,81.87,56.12,Medium,0,1,0
11,Weekday,1,9.19,12.68,1,1,0,6.3,41.1,1.36,0.11,0.11,11.53,9.44,0,1.7,-5.38,3.23,40.8,0,4.42,1591.94,22.49,95.98,66.1,Medium,0,1,0
12,Weekday,1,8.16,11.7,4,1,0,5.41,85.2,1.42,0.48,0.12,2.85,9.16,1,2.59,-5.29,3.58,48.8,1,10.31,3885.12,19.94,22.74,14.31,Low,0,0,0
12,Weekend,0,5.08,8.75,1,4,1,7.91,77.7,1.69,0.19,0.77,7.95,6.33,0,0.09,3.16,-3.12,0.45,0,15,5138.56,67,28.95,18.7,Low,0,0,0.51
12,Weekday,1,7.97,11,5,4,0,7.18,86.3,1.36,0.62,0.5,2.16,9.22,1,0.82,0.18,0.23,6.4,0,10.69,4044.59,69.97,32.82,21.44,Low,0,0,0
12,Weekend,0,5.59,8.54,2,2,0,6.54,75.1,1.5,0.35,0.35,4.07,6.09,0,1.46,0,-1.27,7.3,0,13.2,4711.27,50.69,41.39,27.5,Low,0,0,0
12,Weekday,1,8.62,12.18,3,1,0,4.6,68.5,1.4,0.34,0.11,3.93,9.37,1,3.4,-6.58,5.28,69.8,1,7.86,2913.53,12.02,53.76,36.25,Low,0,0,0
12,Weekend,0,3,5.23,2,4,0,7.5,67.4,1.69,0.65,1.29,2.49,3.5,0,0.5,6.27,-6.02,2.5,0,21.74,5392,92.25,53.8,36.27,Low,0,0,0
12,Weekend,0,3,5.22,0,3,0,7.75,66.7,1.68,0,0.97,52.2,3,0,0.25,5.53,-6.4,1.25,0,21.52,5336,82.12,52.84,35.6,Low,0,0,0
12,Weekend,0,5.29,8.8,1,1,0,5.85,59.8,1.63,0.19,0.19,8,5.54,0,2.15,-1.95,0.03,11,1,11.09,3871.05,34.72,59.74,40.48,Low,0,0,0
12,Weekend,0,3.73,5.91,1,5,0,7.63,62.1,1.54,0.26,1.31,5.37,3.98,0,0.37,6.72,-5.54,1.85,0,16.21,4665.78,100,58.22,39.4,Low,0,0,0
12,Weekend,0,3,4.76,0,5,1,6.23,59.1,1.54,0,1.61,47.6,4,0,1.77,6.47,-4.59,8.85,0,19.06,4728,74.72,59.59,40.37,Low,0,0,0.3
13,Weekday,1,8.88,12.02,5,4,0,9.76,80,1.34,0.56,0.45,2.36,10.13,1,-1.76,1.74,-2.62,0,0,8.91,3264,85.68,22.36,14.04,Low,0,0,0
13,Weekday,1,9.22,12.23,1,3,0,5.03,75.5,1.31,0.11,0.32,11.12,9.47,0,2.97,-4.2,4.69,61.7,1,8.1,2909.27,36.84,30.86,20.05,Low,0,0,0
13,Weekday,1,8.74,10.66,5,2,0,5.66,77.8,1.21,0.57,0.23,2.09,9.99,1,2.34,-3,2.17,33.4,1,8.8,3246.85,31.49,37.77,24.94,Low,0,0,0
13,Weekend,0,5.06,7.74,2,3,1,6.82,74.4,1.5,0.39,0.58,3.69,6.56,0,1.18,2.08,-2.49,5.9,0,14.42,4930.24,46.91,42.75,28.46,Low,0,0,0.51
13,Weekend,0,5.65,8.62,2,4,0,8.45,68.9,1.5,0.35,0.7,4.1,6.15,0,-0.45,3.83,-4.06,0,0,11.98,4294.77,88.78,46.89,31.39,Low,0,0,0
13,Weekend,0,3.86,7.76,1,1,0,7.42,68.3,1.96,0.25,0.25,7.05,4.11,0,0.58,0.66,-3.37,2.9,0,17.25,5072.41,52.21,48.63,32.62,Low,0,0,0
13,Weekday,1,7.14,10.72,2,4,0,7.55,62,1.48,0.28,0.55,5.1,7.64,0,0.45,0.83,-0.6,2.25,0,8.56,3248.8,76.06,55.11,37.2,Low,0,0,0
13,Weekday,1,10.04,13.72,1,5,0,6.38,56.3,1.35,0.1,0.49,12.47,10.29,0,1.62,-2.34,4.15,49.6,0,5.55,1861.65,67.69,63.82,43.36,Low,0,0,0
13,Weekend,0,4.74,6.71,2,4,1,7.31,65.3,1.39,0.41,0.83,3.2,6.24,0,0.69,4.6,-4.26,3.45,0,13.49,4466.52,63.86,62.8,42.64,Low,0,0,0.47
13,Weekend,0,3,5.08,2,4,0,6.37,63,1.64,0.65,1.29,2.42,3.5,0,1.63,5.29,-4.47,8.15,0,20.32,5040,83.78,63.84,43.37,Low,0,0,0
14,Weekend,0,3,5.17,1,5,0,4.7,88.5,1.67,0.32,1.61,4.7,3.25,0,3.3,4.53,-1.88,16.5,0,28.55,7080,83.25,11.02,6.02,Low,0,0,0
14,Weekend,0,4.24,8.15,2,5,0,7.73,94.9,1.88,0.46,1.15,3.88,4.74,0,0.27,4.58,-3.44,1.35,0,21.87,6807.49,100,9.23,4.76,Low,0,0,0
14,Weekend,0,5.05,8.5,1,2,0,4.96,91.4,1.65,0.19,0.39,7.73,5.3,0,3.04,-1.54,1.06,25.8,1,17.75,6062.87,41,13.35,7.67,Low,0,0,0
